key,sha,message,filename
HIVE-12090,3de8582ff71876fae9e4a233ffc30b91b2893c12,"HIVE-12090: Dead-code: Vectorized map-join runs Murmurhash twice (Gopal V, reviewed by Matt McCline)",ql/src/java/org/apache/hadoop/hive/ql/exec/persistence/MapJoinBytesTableContainer.java
HIVE-12058,8c3d6904f281f250c1c40790d5c248c7e0d313d7,HIVE-12058: Change hive script to record errors when calling hbase fails (Yongzhi via Jimmy),bin/hive
HIVE-12021,be05e32e58f54c0185551cb61d9769d2ceb5bbdd,"HIVE-12021: HivePreFilteringRule may introduce wrong common operands (Jesus Camacho Rodriguez, reviewed by Laljo John Pullokkaran)",ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/rules/HivePreFilteringRule.java
HIVE-12021,be05e32e58f54c0185551cb61d9769d2ceb5bbdd,"HIVE-12021: HivePreFilteringRule may introduce wrong common operands (Jesus Camacho Rodriguez, reviewed by Laljo John Pullokkaran)",ql/src/test/queries/clientpositive/filter_cond_pushdown.q
HIVE-12021,be05e32e58f54c0185551cb61d9769d2ceb5bbdd,"HIVE-12021: HivePreFilteringRule may introduce wrong common operands (Jesus Camacho Rodriguez, reviewed by Laljo John Pullokkaran)",ql/src/test/results/clientpositive/filter_cond_pushdown.q.out
HIVE-4243,680b7681cc83e55f6c71ef6312bf3369cc5a575f,HIVE-12034 : HIVE-4243 broke things for llap branch (Sergey Shelukhin) ADDENDUM,ql/src/java/org/apache/hadoop/hive/ql/io/orc/OrcFile.java
HIVE-11835,54ca6fc51239e28309dcc7d68647ee2a25f1ca98,"HIVE-11835: Type decimal(1,1) reads 0.0, 0.00, etc from text file as NULL (Reviewed by Szehon) -- Add the forgotten new data file",data/files/decimal_1_1.txt
HIVE-11980,0d36e82479a47dac7e55875364503881fdbc069e,"HIVE-11980 : Follow up on HIVE-11696, exception is thrown from CTAS from the table with table-level serde is Parquet while partition-level serde is JSON (Aihua Xu via Szehon)",data/files/sample2.json
HIVE-11980,0d36e82479a47dac7e55875364503881fdbc069e,"HIVE-11980 : Follow up on HIVE-11696, exception is thrown from CTAS from the table with table-level serde is Parquet while partition-level serde is JSON (Aihua Xu via Szehon)",ql/src/java/org/apache/hadoop/hive/ql/io/parquet/serde/ArrayWritableObjectInspector.java
HIVE-11980,0d36e82479a47dac7e55875364503881fdbc069e,"HIVE-11980 : Follow up on HIVE-11696, exception is thrown from CTAS from the table with table-level serde is Parquet while partition-level serde is JSON (Aihua Xu via Szehon)",ql/src/test/queries/clientpositive/parquet_mixed_partition_formats2.q
HIVE-11980,0d36e82479a47dac7e55875364503881fdbc069e,"HIVE-11980 : Follow up on HIVE-11696, exception is thrown from CTAS from the table with table-level serde is Parquet while partition-level serde is JSON (Aihua Xu via Szehon)",ql/src/test/results/clientpositive/parquet_mixed_partition_formats2.q.out
HIVE-11928,467a117edeb40074957d222386e1800194322a29,HIVE-11928: ORC footer section can also exceed protobuf message limit (Prasanth Jayachandran reviewed by Sergey Shelukhin and Owen O'Malley),ql/src/java/org/apache/hadoop/hive/ql/io/orc/InStream.java
HIVE-11928,467a117edeb40074957d222386e1800194322a29,HIVE-11928: ORC footer section can also exceed protobuf message limit (Prasanth Jayachandran reviewed by Sergey Shelukhin and Owen O'Malley),ql/src/java/org/apache/hadoop/hive/ql/io/orc/MetadataReader.java
HIVE-11928,467a117edeb40074957d222386e1800194322a29,HIVE-11928: ORC footer section can also exceed protobuf message limit (Prasanth Jayachandran reviewed by Sergey Shelukhin and Owen O'Malley),ql/src/java/org/apache/hadoop/hive/ql/io/orc/ReaderImpl.java
