file,lines_added,lines_deleted,num_commits,num_bug_fixes,num_all_commits,num_developers,num_all_developers,avg_time_between_changes,avg_time_all_versions,avg_expertise,min_expertise
beeline/src/java/org/apache/hive/beeline/Rows.java,24,15,5,1,0,5,0,11048054.75,0,216.6,103
beeline/src/test/.gitignore,0,0,0,0,0,0,0,0,0,0,0
beeline/src/java/org/apache/hive/beeline/hs2connection/HiveSiteHS2ConnectionFileParser.java,172,0,2,1,0,2,0,39672060.0,0,352.0,225
beeline/src/java/org/apache/hive/beeline/BeeLineOpts.java,163,26,14,3,0,10,0,4132531.230769231,0,210.7,9
beeline/src/java/org/apache/hive/beeline/hs2connection/BeelineHS2ConnectionFileParseException.java,30,0,3,1,0,3,0,22984800.5,0,281.0,139
beeline/pom.xml,36,1,15,5,1,11,1,5522303.857142857,0,226.27272727272728,103
beeline/src/java/org/apache/hive/beeline/hs2connection/HS2ConnectionFileParser.java,88,0,3,1,0,3,0,22984800.5,0,281.0,139
beeline/src/java/org/apache/hive/beeline/hs2connection/HS2ConnectionFileUtils.java,250,0,3,1,0,3,0,22984800.5,0,281.0,139
beeline/src/java/org/apache/hive/beeline/hs2connection/UserHS2ConnectionFileParser.java,114,0,4,1,0,3,0,15323200.333333334,0,281.0,139
beeline/src/test/org/apache/hive/beeline/TestBeeLineOpts.java,41,0,2,2,0,2,0,44171956.0,0,340.5,202
beeline/src/test/org/apache/hive/beeline/TestBeeLineExceptionHandling.java,72,0,2,2,0,2,0,41233448.0,0,282.5,86
beeline/src/java/org/apache/hive/beeline/logs/BeelineInPlaceUpdateStream.java,100,0,4,1,0,3,0,9965940.666666666,0,270.0,116
beeline/src/test/org/apache/hive/beeline/TestClientCommandHookFactory.java,96,5,3,1,0,2,0,23425666.0,0,340.5,202
beeline/src/test/org/apache/hive/beeline/TestIncrementalRows.java,136,0,2,1,0,2,0,14300243.0,0,340.5,202
beeline/src/test/org/apache/hive/beeline/TestBeeLineHistory.java,97,0,6,3,0,3,0,12496551.8,0,237.66666666666666,9
beeline/src/test/org/apache/hive/beeline/ProxyAuthTest.java,6,5,4,2,0,4,0,7188339.0,0,242.0,2
beeline/src/test/org/apache/hive/beeline/TestBufferedRows.java,121,0,3,1,0,3,0,23768895.5,0,264.3333333333333,112
beeline/src/test/resources/DummyDriver.txt,0,0,0,0,0,0,0,0,0,0,0
beeline/src/test/org/apache/hive/beeline/TestShutdownHook.java,46,0,2,1,0,2,0,29378728.0,0,298.5,118
beeline/src/test/org/apache/hive/beeline/TestTableOutputFormat.java,108,0,2,0,0,2,0,30817084.0,0,101.5,1
beeline/src/test/org/apache/hive/beeline/TestCommands.java,63,0,4,1,0,4,0,11380174.666666666,0,201.75,21
beeline/src/test/resources/test-hs2-conn-conf-kerberos-nossl.xml,32,0,1,0,0,1,0,0,0,225.0,225
beeline/src/test/resources/test-hs2-conn-conf-kerberos-http.xml,48,0,1,0,0,1,0,0,0,225.0,225
beeline/src/test/resources/test-hs2-conn-conf-kerberos-ssl.xml,40,0,1,0,0,1,0,0,0,225.0,225
beeline/src/test/resources/test-hs2-connection-conf-list.xml,36,0,1,0,0,1,0,0,0,225.0,225
beeline/src/test/org/apache/hive/beeline/hs2connection/TestUserHS2ConnectionFileParser.java,209,0,3,1,0,3,0,22984800.5,0,281.0,139
beeline/src/test/resources/test-hs2-connection-config-noauth.xml,28,0,1,0,0,1,0,0,0,225.0,225
bin/ext/debug.sh,0,0,0,0,0,0,0,0,0,0,0
beeline/src/test/resources/test-hs2-connection-multi-conf-list.xml,37,0,1,0,0,1,0,0,0,225.0,225
beeline/src/test/resources/test-hs2-connection-zookeeper-config.xml,32,0,1,0,0,1,0,0,0,225.0,225
beeline/src/test/resources/hive-site.xml,14,4,3,0,0,3,0,12391872.5,0,417.0,225
bin/ext/beeline.sh,1,2,1,0,0,1,0,0,0,479.0,479
bin/ext/hiveburninclient.sh,0,0,0,0,0,0,0,0,0,0,0
bin/ext/cleardanglingscratchdir.sh,28,0,1,0,0,1,0,0,0,198.0,198
bin/ext/hplsql.sh,0,0,0,0,0,0,0,0,0,0,0
bin/ext/jar.sh,0,0,0,0,0,0,0,0,0,0,0
bin/ext/help.sh,1,1,1,0,0,1,0,0,0,241.0,241
beeline/src/test/org/apache/hive/beeline/TestBeelineArgParsing.java,97,4,9,3,0,8,0,6999985.125,0,177.0,5
beeline/src/java/org/apache/hive/beeline/Commands.java,371,170,29,4,0,14,0,2434221.75,0,144.35714285714286,9
beeline/src/test/org/apache/hive/beeline/TestHiveSchemaTool.java,92,0,9,4,0,7,0,4782014.25,0,320.42857142857144,112
bin/ext/fixacidkeyindex.sh,32,0,2,1,0,2,0,1961824.0,0,297.5,241
bin/ext/lineage.sh,1,1,1,0,0,1,0,0,0,241.0,241
bin/ext/metatool.sh,0,0,0,0,0,0,0,0,0,0,0
bin/ext/rcfilecat.sh,0,0,0,0,0,0,0,0,0,0,0
beeline/src/test/org/apache/hive/beeline/cli/TestHiveCli.java,28,9,7,2,0,7,0,11294935.166666666,0,235.28571428571428,21
bin/ext/util/execHiveCmd.sh,0,0,0,0,0,0,0,0,0,0,0
bin/ext/llapstatus.sh,42,0,2,1,0,1,0,27842274.0,0,190.0,190
bin/ext/llap.sh,1,0,2,1,0,2,0,32579604.0,0,194.5,190
bin/ext/tokentool.sh,67,0,1,0,0,1,0,0,0,21.0,21
bin/hiveserver2,0,0,0,0,0,0,0,0,0,0,0
bin/hive-config.sh,0,0,0,0,0,0,0,0,0,0,0
bin/ext/schemaTool.sh,0,0,2,0,0,1,0,99904.0,0,479.0,479
bin/beeline,0,14,5,1,0,5,0,8226330.5,0,64.0,3
bin/ext/llapdump.sh,31,0,3,2,0,3,0,32431539.5,0,522.3333333333334,327
bin/schematool,0,0,0,0,0,0,0,0,0,0,0
bin/metatool,0,0,0,0,0,0,0,0,0,0,0
bin/ext/version.sh,1,1,1,0,0,1,0,0,0,225.0,225
bin/init-hive-dfs.sh,0,0,0,0,0,0,0,0,0,0,0
